price_paid,deed_date,postcode,paon,street,town,district,dataset
"370000","2017-06-30","SW2 2QE","116","HARDEL WALK","LONDON","LAMBETH",dataset
"195000","2008-07-11","SW2 2QE","118","HARDEL WALK","LONDON","LAMBETH",dataset
"195000","2007-10-15","SW2 2QE","120","HARDEL WALK","LONDON","LAMBETH",dataset
"295000","2014-03-20","SW2 2QE","50","HARDEL WALK","LONDON","LAMBETH",dataset
"182500","2009-09-28","SW2 2QE","50","HARDEL WALK","LONDON","LAMBETH",dataset
"200000","2010-04-29","SW2 2QE","54","HARDEL WALK","LONDON","LAMBETH",dataset
"195000","2015-03-06","SW2 2QF","104","HARDEL WALK","LONDON","LAMBETH",dataset
"120000","2010-07-23","SW2 2QF","104","HARDEL WALK","LONDON","LAMBETH",dataset
"115000","2002-03-28","SW2 2QF","110","HARDEL WALK","LONDON","LAMBETH",dataset
"95000","2007-12-11","SW2 2QF","114","HARDEL WALK","LONDON","LAMBETH",dataset
"27000","1996-08-23","SW2 2QF","114","HARDEL WALK","LONDON","LAMBETH",dataset
"85000","2002-05-17","SW2 2QF","12","HARDEL WALK","LONDON","LAMBETH",dataset
"175000","2013-08-09","SW2 2QF","2","HARDEL WALK","LONDON","LAMBETH",dataset
"130000","2005-08-12","SW2 2QF","2","HARDEL WALK","LONDON","LAMBETH",dataset
"22000","1996-09-20","SW2 2QF","46","HARDEL WALK","LONDON","LAMBETH",dataset
"60000","1998-12-09","SW2 2QF","70","HARDEL WALK","LONDON","LAMBETH",dataset
"35000","1996-11-26","SW2 2QF","72","HARDEL WALK","LONDON","LAMBETH",dataset
"145000","2003-09-18","SW2 2QF","74","HARDEL WALK","LONDON","LAMBETH",dataset
"185000","2007-03-09","SW2 2QF","82","HARDEL WALK","LONDON","LAMBETH",dataset
"292000","2013-10-23","SW2 2QF","84","HARDEL WALK","LONDON","LAMBETH",dataset
"182000","2006-03-03","SW2 2QF","84","HARDEL WALK","LONDON","LAMBETH",dataset
"320000","2015-03-03","SW2 2QF","88","HARDEL WALK","LONDON","LAMBETH",dataset
"165000","2003-06-03","SW2 2QF","88","HARDEL WALK","LONDON","LAMBETH",dataset
"130000","2003-03-06","SW2 2QF","88","HARDEL WALK","LONDON","LAMBETH",dataset
"109000","2001-08-09","SW2 2QG","13","HARDEL WALK","LONDON","LAMBETH",dataset
"295000","2014-06-03","SW2 2QG","17","HARDEL WALK","LONDON","LAMBETH",dataset
"43500","1997-10-01","SW2 2QG","19","HARDEL WALK","LONDON","LAMBETH",dataset
"239000","2008-03-28","SW2 2QG","21","HARDEL WALK","LONDON","LAMBETH",dataset
"106000","2001-06-08","SW2 2QG","21","HARDEL WALK","LONDON","LAMBETH",dataset
"275000","2013-08-13","SW2 2QG","33","HARDEL WALK","LONDON","LAMBETH",dataset
"132000","2003-03-28","SW2 2QG","33","HARDEL WALK","LONDON","LAMBETH",dataset
"138000","2004-02-06","SW2 2QG","35","HARDEL WALK","LONDON","LAMBETH",dataset
"37950","1996-03-29","SW2 2QG","35","HARDEL WALK","LONDON","LAMBETH",dataset
"49500","1998-02-27","SW2 2QG","37","HARDEL WALK","LONDON","LAMBETH",dataset
"123450","2002-12-23","SW2 2QG","43","HARDEL WALK","LONDON","LAMBETH",dataset
"230000","2006-05-25","SW2 2QG","45","HARDEL WALK","LONDON","LAMBETH",dataset
"85000","1999-12-10","SW2 2QG","45","HARDEL WALK","LONDON","LAMBETH",dataset
"40000","1995-03-31","SW2 2QG","45","HARDEL WALK","LONDON","LAMBETH",dataset
"189950","2006-03-14","SW2 2QG","47","HARDEL WALK","LONDON","LAMBETH",dataset
"95000","2000-11-17","SW2 2QG","47","HARDEL WALK","LONDON","LAMBETH",dataset
"375000","2017-02-03","SW2 2QG","5","HARDEL WALK","LONDON","LAMBETH",dataset
"78000","2001-03-06","SW2 2QG","5","HARDEL WALK","LONDON","LAMBETH",dataset
"145000","2011-01-17","SW2 2QH","21","BODLEY MANOR WAY","LONDON","LAMBETH",dataset
"100000","2005-09-16","SW2 2QJ","25","BODLEY MANOR WAY","LONDON","LAMBETH",dataset
"140000","2011-10-19","SW2 2QJ","35","BODLEY MANOR WAY","LONDON","LAMBETH",dataset
